,doc,page,min,max,year,pos,len,blocks_on_page,group
105,Economics-1955-0,13,0.7890410999999999,0.79882586,1955.0,center,0.009784760000000059,8,E5
106,Economics-1955-0,13,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,8,E5
107,Economics-1955-0,13,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,8,E5
108,Economics-1955-0,14,0.080234833,0.08806262200000001,1955.0,top,0.007827789000000002,10,E5
109,Economics-1955-0,14,0.078277886,0.088845402,1955.0,top,0.010567515999999999,10,E5
110,Economics-1955-0,14,0.10528376,0.19452055000000001,1955.0,center,0.08923679000000001,10,E5
111,Economics-1955-0,14,0.21252446,0.22700587,1955.0,center,0.01448141,10,E5
112,Economics-1955-0,14,0.23561645,0.34168297000000003,1955.0,center,0.10606652000000003,10,E5
113,Economics-1955-0,14,0.34324855,0.59138942,1955.0,center,0.24814087000000007,10,E5
114,Economics-1955-0,14,0.59373778,0.73776907,1955.0,center,0.14403129000000003,10,E5
115,Economics-1955-0,14,0.75616437,0.76046968,1955.0,center,0.004305310000000007,10,E5
116,Economics-1955-0,14,0.75499022,0.86379647,1955.0,center,0.10880625,10,E5
117,Economics-1955-0,14,0.91780823,0.95225048,1955.0,btm,0.03444225000000001,10,E5
118,Economics-1955-0,15,0.06888453700000001,0.083757341,1955.0,top,0.01487280399999999,90,E5
119,Economics-1955-0,15,0.098238744,0.15029354,1955.0,center,0.052054796,90,E5
120,Economics-1955-0,15,0.24970646000000002,0.26183954,1955.0,center,0.012133079999999963,90,E5
121,Economics-1955-0,15,0.26301369,0.27240705,1955.0,center,0.009393359999999962,90,E5
122,Economics-1955-0,15,0.27514678,0.30019569,1955.0,center,0.025048910000000035,90,E5
123,Economics-1955-0,15,0.30254403,0.31545988,1955.0,center,0.012915850000000006,90,E5
124,Economics-1955-0,15,0.31780821,0.32524461,1955.0,center,0.00743640000000001,90,E5
125,Economics-1955-0,15,0.32759297,0.34129158,1955.0,center,0.01369861,90,E5
126,Economics-1955-0,15,0.34168297000000003,0.35459882,1955.0,center,0.012915849999999951,90,E5
127,Economics-1955-0,15,0.35655576,0.36712328,1955.0,center,0.010567519999999997,90,E5
128,Economics-1955-0,15,0.369863,0.38121331,1955.0,center,0.01135031000000003,90,E5
129,Economics-1955-0,15,0.38473582,0.39217222,1955.0,center,0.00743640000000001,90,E5
130,Economics-1955-0,15,0.39412916000000003,0.40782779,1955.0,center,0.01369862999999999,90,E5
131,Economics-1955-0,15,0.16947162000000002,0.19373778,1955.0,center,0.02426615999999998,90,E5
132,Economics-1955-0,15,0.07279843100000001,0.08062622,1955.0,top,0.007827788999999988,90,E5
133,Economics-1955-0,15,0.2074364,0.23874755,1955.0,center,0.03131115000000001,90,E5
134,Economics-1955-0,15,0.29119372,0.29902151,1955.0,center,0.007827790000000001,90,E5
135,Economics-1955-0,15,0.28767124,0.3041096,1955.0,center,0.016438359999999985,90,E5
136,Economics-1955-0,15,0.29119372,0.29941291000000003,1955.0,center,0.008219190000000043,90,E5
